,place,rate,address,store_date,store_time,price,커피가맛있어요,음료가맛있어요,인테리어가멋져요,대화하기좋아요,디저트가맛있어요,뷰가좋아요,사진이잘나와요,친절해요,집중하기좋아요,음식이맛있어요,매장이넓어요,매장이청결해요,주차하기편해요,빵이맛있어요,특별한메뉴가있어요,가성비가좋아요,재료가신선해요,좌석이편해요,차가맛있어요
56,브릿지엣지,4.31,서울 동작구 상도로53길 70 상가동 311호,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '정기휴무 (매주 일요일)']",1600.0,6,0,0,0,11,0,0,11,0,0,0,6,0,0,5,0,0,0,0
57,배스킨라빈스 중앙대,4.45,서울 동작구 흑석로 87,['매일'],['10:00 - 23:00'],-1.0,0,69,0,0,340,0,0,163,0,0,0,152,0,0,88,0,0,0,0
58,카페힐우드,4.98,서울 동작구 만양로 50,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 18:00\n17:50 라스트오더', '정기휴무 (매주 화요일)', '10:00 - 18:00\n17:50 라스트오더', '10:00 - 18:00\n17:50 라스트오더', '10:00 - 18:00\n17:50 라스트오더', '10:00 - 18:00\n17:50 라스트오더', '10:00 - 18:00\n17:50 라스트오더']",-1.0,51,29,0,0,23,0,0,53,0,0,0,22,0,0,0,0,0,0,0
59,블루포트 중앙대학교102관점,4.37,서울 동작구 흑석로 84 중앙대학교 102관,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '정기휴무 (매주 일요일)']",1800.0,38,9,0,0,0,0,0,0,12,0,0,9,0,0,0,11,0,0,0
60,할리스 중앙대점,-1.0,서울 동작구 흑석로 77 지하~5층 (서울특별시 동작구 흑석동 205-3),['매일'],['07:00 - 23:00\n22:50 라스트오더'],4500.0,102,40,22,0,28,0,0,0,36,0,0,0,0,0,0,0,0,0,0
61,던킨 흑석DT점,-1.0,서울 동작구 현충로 101 (흑석동) 1층,"['월', '화', '수', '목', '금', '토', '일']","['07:00 - 23:00', '07:00 - 23:00', '07:00 - 23:00', '07:00 - 23:00', '07:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00']",-1.0,30,0,30,0,77,0,0,29,0,0,0,36,0,0,0,0,0,0,0
62,파리바게뜨 중앙대점,4.34,서울 동작구 흑석로 106-9,['매일'],['07:00 - 23:30'],1000.0,0,0,0,0,0,0,0,193,0,0,0,90,0,594,44,78,0,0,0
63,위드커피,4.39,서울 동작구 흑석로 4 1층,"['월', '화', '수', '목', '금', '토', '일(9/4)']","['09:00 - 21:30', '09:00 - 21:30', '09:00 - 21:30', '09:00 - 21:30', '09:00 - 21:30', '10:00 - 20:00', '정기휴무 (격주 일요일)']",2500.0,33,18,15,0,21,0,0,29,0,0,0,0,0,0,0,0,0,0,0
64,스마일꽈배기,-1.0,서울 동작구 현충로 92 스마일품찹쌀꽈배기,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 20:00', '11:00 - 20:00', '11:00 - 20:00', '11:00 - 20:00', '11:00 - 20:00', '11:00 - 20:00', '정기휴무 (매주 일요일)']",1500.0,0,0,0,0,0,0,0,46,0,0,0,16,0,111,18,57,0,0,0
65,커피콩클럽,-1.0,서울 동작구 현충로 100,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '12:00 - 23:00', '12:00 - 23:00', '12:00 - 23:00', '12:00 - 23:00', '12:00 - 23:00', '12:00 - 23:00']",4000.0,71,0,45,0,42,0,0,49,0,0,0,39,0,0,0,0,0,0,0
66,던킨 중앙대병원점,4.34,서울 동작구 흑석로 102 중앙대학교병원,"['월', '화', '수', '목', '금', '토', '일']","['07:00 - 21:00', '07:00 - 21:00', '07:00 - 21:00', '07:00 - 21:00', '07:00 - 21:00', '07:00 - 20:00', '07:00 - 20:00']",-1.0,83,53,0,0,107,0,0,75,0,0,0,48,0,0,0,0,0,0,0
67,카페찌미스,-1.0,서울 동작구 양녕로 265 지하1층,"['월', '화', '수', '목', '금', '토', '일']","['13:00 - 22:00\n21:30 라스트오더', '13:00 - 22:00\n21:30 라스트오더', '13:00 - 22:00\n21:30 라스트오더', '13:00 - 22:00\n21:30 라스트오더', '13:00 - 22:00\n21:30 라스트오더', '12:00 - 22:00\n21:30 라스트오더', '12:00 - 22:00\n21:30 라스트오더']",6000.0,0,10,10,6,0,0,0,13,0,0,0,0,0,0,7,0,0,0,0
68,이디야커피 중앙대점,4.47,서울 동작구 흑석로 79,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '정보없음', '정보없음']",3200.0,60,26,0,0,14,0,0,21,0,0,0,0,0,0,0,19,0,0,0
69,엘에스와이랩,4.63,서울 동작구 노량진로 250,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '10:00 - 18:00', '10:00 - 18:00']",2500.0,27,7,0,6,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0
70,하드앤빈스,4.32,서울 영등포구 63로 45,['매일'],['07:30 - 22:00'],5000.0,35,11,0,6,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0
71,요세프,4.69,서울 동작구 현충로 114,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '10:00 - 20:00', '10:00 - 20:00', '10:00 - 20:00', '10:00 - 20:00', '10:00 - 20:00', '정기휴무 (매주 일요일)']",3000.0,28,0,0,0,26,0,0,25,0,0,0,14,0,0,16,0,0,0,0
72,더벤티 중앙대점,4.37,서울 동작구 흑석로 90 더벤티 중앙대점,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 21:00', '08:00 - 21:00']",-1.0,130,78,0,0,0,0,0,50,0,0,0,15,0,0,0,129,0,0,0
73,카페숨,4.34,서울 동작구 상도로 329 지하 1층,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 22:00', '11:00 - 22:00', '11:00 - 22:00', '11:00 - 22:00', '11:00 - 22:00', '11:00 - 22:00', '정기휴무 (매주 일요일)']",3500.0,39,12,0,16,11,0,0,23,0,0,0,0,0,0,0,0,0,0,0
