place,0,1,2,3,4,5,6,7,8,9
배스킨라빈스 흑석DT,바로요거,배스킨라빈스 숭실대점,앳더블랑,던킨 흑석DT점,배스킨라빈스 중앙대,드웨이,카페미뇽 중앙대점,브릿지엣지,던킨 중앙대병원점,커스텀요거트
빅컵,위드커피,커피콩클럽,흑석커피,커피나무 중앙대정문점,투앤나인,커피나무 상도점,베이커즈원,바로요거,카페잇 중앙대병원점,브라운필투
마린커피,블루포트,카페 빈,가성비,메가MGC커피 중앙대점,컴포즈커피 중앙대점,쉬어가는모퉁이커피한잔,모코커피,카페아드리아,달콩커피,카페드림 중앙대법학관점
매머드익스프레스 중앙대점,매머드익스프레스 중앙대후문점,컴포즈커피 중앙대점,더벤티 중앙대점,메가MGC커피 상도중앙점,메가MGC커피 숭실대입구역점,메가MGC커피 중앙대점,카페드림 중앙대법학관점,커피에반하다 중앙대점 스마트 무인카페,블루포트 중앙대학교301관점,중앙대310관 카페
멜로드,커피나무 중앙대정문점,카페노들수,요거프레소 중앙대점,베러댄와플 중앙대점,마담콩cafe,던킨 중앙대병원점,위드커피,"카페, 순",오후홍콩,카페잇 중앙대병원점
st.535로스터리카페,빅토리아가든,커피더캠프 흑석역점,GOODDAY COFFEE,스타벅스 숭실대입구역점,오티움 로스터리,더치앤빈 흑리단길점,스타벅스 중앙대점,바리스타조앤,셀렉토커피 상도두산점,달콩커피
뚜레쥬르 상도래미안점,파리바게뜨 중앙대점,BGT호두단팥빵 숭실대역점,파리바게뜨 노들역점,오롯이 굽다,리치몽브레 흑석점,가춘,우리동네 식빵해적단,참베이커리,파리바게트 상도역점,언니의식빵가게
커피나무 상도점,카페숨,카페잇 중앙대병원점,펠어커피 상도점,카페노들수,스타벅스 중앙대점,카페디차,스타벅스 숭실대입구역점,스타벅스 숭실대점,커피나무 중앙대정문점,셀렉토커피 상도두산점
카페힐,라임플레쉬카페,엘에스와이랩,쉬어가는모퉁이커피한잔,메가MGC커피 숭실대입구역점,메가MGC커피 상도중앙점,카페아드리아,카페드림 중앙대법학관점,컴포즈커피 중앙대점,문커피,달콩커피
커피나무 중앙대정문점,카페노들수,멜로드,카페잇 중앙대병원점,마담콩cafe,스노우플라워,커피나무 상도점,카페비온후,베러댄와플 중앙대점,던킨 중앙대병원점,카페 더테이블
공차 중앙대점,비틀쥬스 중앙대학교병원점,블루버블 버블티,베브릿지 중앙대점,아마스빈 중앙대점,정우원,카페찌미스,카페린91,펠어커피 상도점,요거프레소 중앙대점,유프카페 중앙대후문점
흑석커피,스타벅스 숭실대입구역점,갓프레소 본점,GOODDAY COFFEE,블루포트,스타벅스 중앙대점,브라운필투,카페잇 중앙대병원점,바리스타조앤,커피집,스타벅스 숭실대점
브릿지엣지,요세프,커스텀요거트,던킨 중앙대병원점,배스킨라빈스 숭실대점,배스킨라빈스 중앙대,앳더블랑,바로요거,베이커즈원,모녀당 상도점,카페 러브구스토
배스킨라빈스 중앙대,배스킨라빈스 숭실대점,카페미뇽 중앙대점,설빙 서울중앙대점,브릿지엣지,크로플덕 오리아가씨 서울대입구점,커스텀요거트,던킨 흑석DT점,이레호두,배스킨라빈스 흑석DT,드웨이
카페힐우드,데일리커피,투앤나인,카페디차,오티움 로스터리,스타벅스 숭실대입구역점,카페잇 중앙대병원점,카페노들수,셀렉토커피 상도두산점,스타벅스 중앙대점,위드커피
블루포트 중앙대학교102관점,블루포트 중앙대학교301관점,메가MGC커피 중앙대점,중앙대310관 카페,하드앤빈스,마린커피,GOODDAY COFFEE,블루포트,모코커피,커피에반하다 중앙대점 스마트 무인카페,오카페 흑석점
할리스 중앙대점,오카페 흑석점,이디야 중앙대후문점,스타벅스 숭실대점,잔디속에있다고상상을해,토크넌센스,블루포트 중앙대학교102관점,델리앤젤라또 중앙대병원점,커피집,그루비,스타벅스 중앙대점
던킨 흑석DT점,드웨이,바로요거,앳더블랑,카페미뇽 중앙대점,모녀당 상도점,배스킨라빈스 흑석DT,배스킨라빈스 숭실대점,배스킨라빈스 중앙대,던킨 중앙대병원점,브릿지엣지
파리바게뜨 중앙대점,오롯이 굽다,가춘,참베이커리,우리동네 식빵해적단,뚜레쥬르 상도래미안점,리치몽브레 흑석점,파리바게뜨 노들역점,브레드숨,언니의식빵가게,브레드덕
위드커피,카페노들수,카페디차,커피나무 중앙대정문점,카페힐우드,카페잇 중앙대병원점,투앤나인,커피나무 상도점,펠어커피 상도점,셀렉토커피 상도두산점,데일리커피
스마일꽈배기,경성찹쌀꽈배기 상도역점,흑석제과,리치몽브레 흑석점,파리바게뜨 중앙대점,오롯이 굽다,BGT호두단팥빵 숭실대역점,참베이커리,가춘,우리동네 식빵해적단,브레드숨
커피콩클럽,앳더블랑,바로요거,베이커즈원,드웨이,위드커피,커피나무 랩,투앤나인,카페 러브구스토,요세프,던킨 흑석DT점
던킨 중앙대병원점,카페미뇽 중앙대점,페이브베이커리 흑석점,카페잇 중앙대병원점,커피나무 중앙대정문점,멜로드,모녀당 상도점,카페힐우드,베이커즈원,베러댄와플 중앙대점,카페디차
카페찌미스,블루버블 버블티,정우원,더웨이,비틀쥬스 중앙대학교병원점,터방내,유프카페 중앙대후문점,공차 중앙대점,위드커피,보트커피,커피더캠프 흑석역점
이디야커피 중앙대점,카페모찌 중앙대점,이디야커피 숭실대역점,카페 빈,셀렉토커피 상도두산점,블루포트,쉬어가는모퉁이커피한잔,마담콩cafe,메가MGC커피 중앙대점,마린커피,카페아드리아
엘에스와이랩,가성비,쉬어가는모퉁이커피한잔,카페 빈,라임플레쉬카페,더치앤빈 흑리단길점,커피향기,카페힐,문커피,카페필림,카페아드리아
하드앤빈스,모코커피,블루포트,카페모찌 중앙대점,빅토리아가든,마린커피,바리스타조앤,이디야커피 중앙대점,카페 빈,메가MGC커피 중앙대점,갓프레소 본점
요세프,브릿지엣지,베이커즈원,카페 더테이블,카페 러브구스토,던킨 중앙대병원점,스노우플라워,모녀당 상도점,투앤나인,앳더블랑,"카페, 순"
