place,tag_title,tag_count
사생활,"['인테리어가 멋져요', '특별한 메뉴가 있어요', '친절해요', '커피가 맛있어요', '대화하기 좋아요']","[592, 585, 405, 333, 315]"
올리버브라운 여의도점,"['커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '매장이 청결해요']","[54, 28, 12, 9, 9]"
커피볶는여자,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요', '친절해요', '음료가 맛있어요']","[133, 81, 69, 61, 56]"
나에게오는길,"['커피가 맛있어요', '디저트가 맛있어요', '친절해요', '인테리어가 멋져요', '음료가 맛있어요']","[92, 88, 73, 59, 54]"
프로젝트서울,[],[]
티라노,"['커피가 맛있어요', '친절해요', '대화하기 좋아요', '디저트가 맛있어요', '음료가 맛있어요']","[32, 16, 12, 9, 7]"
메이드바이아린,"['특별한 메뉴가 있어요', '친절해요', '빵이 맛있어요', '매장이 청결해요', '인테리어가 멋져요']","[45, 36, 35, 21, 12]"
작은자리카페,[],[]
45바이블랙레이블,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '가성비가 좋아요', '매장이 청결해요']","[34, 28, 14, 12, 9]"
브리오슈도레 여의도역점,"['빵이 맛있어요', '커피가 맛있어요', '음료가 맛있어요', '대화하기 좋아요', '친절해요']","[139, 75, 47, 41, 37]"
배재란의커피클래스,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '특별한 메뉴가 있어요', '대화하기 좋아요']","[25, 11, 8, 8, 7]"
마호가니 여의도점,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '대화하기 좋아요', '좌석이 편해요']","[175, 121, 61, 46, 40]"
쿠즈코커피 보라매점,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '매장이 청결해요', '대화하기 좋아요']","[13, 6, 6, 5, 5]"
블로엠,[],[]
카페폴,"['커피가 맛있어요', '디저트가 맛있어요', '특별한 메뉴가 있어요', '인테리어가 멋져요', '음료가 맛있어요']","[62, 57, 36, 30, 29]"
세상과연애하기,[],[]
카페프레임,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요', '음료가 맛있어요', '친절해요']","[17, 11, 10, 10, 9]"
방앗간,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '디저트가 맛있어요', '좌석이 편해요']","[83, 74, 62, 58, 51]"
카페요와,"['커피가 맛있어요', '집중하기 좋아요', '음료가 맛있어요', '디저트가 맛있어요', '매장이 청결해요']","[12, 9, 7, 5, 4]"
카페 린네스가든,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '대화하기 좋아요', '가성비가 좋아요']","[33, 19, 12, 12, 11]"
카페익스큐즈미,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요', '매장이 청결해요', '디저트가 맛있어요']","[11, 7, 7, 7, 4]"
갱커피,"['커피가 맛있어요', '집중하기 좋아요', '매장이 청결해요', '대화하기 좋아요', '인테리어가 멋져요']","[71, 61, 30, 28, 27]"
카페길,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요', '매장이 청결해요', '음료가 맛있어요']","[166, 110, 95, 92, 91]"
카페 리버브,"['커피가 맛있어요', '음료가 맛있어요', '가성비가 좋아요', '디저트가 맛있어요', '친절해요']","[19, 10, 10, 9, 7]"
레어그루브,"['커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요', '집중하기 좋아요', '대화하기 좋아요']","[18, 13, 7, 7, 7]"
커피베이 보라매점,"['친절해요', '커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요', '매장이 청결해요']","[27, 24, 8, 7, 7]"
지오북카페,"['커피가 맛있어요', '집중하기 좋아요', '읽을만한 책이 많아요', '좌석이 편해요', '음료가 맛있어요']","[7, 7, 4, 4, 4]"
주빈커피 여의도본점,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '대화하기 좋아요', '디저트가 맛있어요']","[35, 9, 9, 4, 3]"
cafe ato,"['커피가 맛있어요', '음료가 맛있어요', '집중하기 좋아요', '친절해요', '매장이 청결해요']","[10, 4, 4, 3, 3]"
루시카토 베이크카페 용산아이파크몰점,"['빵이 맛있어요', '커피가 맛있어요', '음료가 맛있어요', '친절해요', '대화하기 좋아요']","[175, 116, 92, 41, 31]"
카페 아자라마,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '가성비가 좋아요', '집중하기 좋아요']","[53, 31, 29, 24, 23]"
설빙 신림점,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '음료가 맛있어요', '커피가 맛있어요', '친절해요']","[512, 128, 105, 104, 94]"
스노우볼,"['디저트가 맛있어요', '커피가 맛있어요', '특별한 메뉴가 있어요', '음료가 맛있어요', '친절해요']","[32, 14, 14, 8, 7]"
Cafe Moss,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '친절해요', '대화하기 좋아요']","[27, 19, 12, 12, 11]"
평화다방 여의도점,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '친절해요', '특별한 메뉴가 있어요']","[60, 37, 37, 23, 23]"
어나더팔레트,[],[]
커피니 관악KT점,"['커피가 맛있어요', '친절해요', '가성비가 좋아요', '음료가 맛있어요', '집중하기 좋아요']","[19, 15, 10, 6, 6]"
이디야커피 총신대점,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '매장이 청결해요', '디저트가 맛있어요']","[106, 57, 51, 32, 30]"
커피팩토리 쏘 물류센터,"['커피가 맛있어요', '친절해요', '매장이 청결해요', '음료가 맛있어요', '가성비가 좋아요']","[25, 11, 11, 8, 8]"
시너리,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '친절해요']","[88, 63, 49, 37, 27]"
폴바셋 여의도점,"['커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요', '친절해요', '매장이 청결해요']","[689, 234, 190, 164, 118]"
카페알토 바이 밀도,"['빵이 맛있어요', '커피가 맛있어요', '매장이 청결해요', '인테리어가 멋져요', '음료가 맛있어요']","[412, 151, 94, 66, 56]"
젠젠 서울대입구점,"['디저트가 맛있어요', '친절해요', '음료가 맛있어요', '특별한 메뉴가 있어요', '커피가 맛있어요']","[25, 19, 10, 8, 7]"
아모르미오,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '친절해요', '음료가 맛있어요']","[57, 27, 21, 20, 19]"
도토리소년,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요', '디저트가 맛있어요', '음료가 맛있어요']","[34, 27, 26, 19, 18]"
드웰러스 카페,[],[]
슬리핑피쉬샤로수,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요', '음료가 맛있어요', '매장이 청결해요']","[26, 22, 19, 18, 14]"
베이커런트,"['빵이 맛있어요', '친절해요', '매장이 청결해요', '커피가 맛있어요', '특별한 메뉴가 있어요']","[184, 69, 66, 48, 28]"
김류정카페,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '친절해요', '가성비가 좋아요']","[16, 5, 4, 4, 4]"
스타벅스 여의도점,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '매장이 청결해요', '디저트가 맛있어요']","[538, 182, 178, 116, 102]"
인바이티드,"['커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '친절해요', '대화하기 좋아요']","[85, 51, 35, 30, 28]"
포프트 커피,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '친절해요']","[27, 16, 11, 8, 7]"
도쿄빙수 이수점,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '음료가 맛있어요', '친절해요', '커피가 맛있어요']","[181, 120, 50, 49, 36]"
오렌지연필,"['집중하기 좋아요', '커피가 맛있어요', '음료가 맛있어요', '친절해요', '매장이 청결해요']","[40, 23, 17, 13, 9]"
낙하산커피,"['커피가 맛있어요', '음료가 맛있어요', '특별한 메뉴가 있어요', '디저트가 맛있어요', '인테리어가 멋져요']","[126, 48, 41, 40, 37]"
진서의정원 카페,"['친절해요', '커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요', '대화하기 좋아요']","[29, 28, 25, 17, 13]"
할리스 용산아이파크몰 영풍문고점,"['커피가 맛있어요', '집중하기 좋아요', '음료가 맛있어요', '친절해요', '매장이 청결해요']","[200, 77, 63, 53, 26]"
몬드 마카롱,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '커피가 맛있어요', '친절해요', '주차하기 편해요']","[6, 6, 2, 2, 2]"
카키바움,"['커피가 맛있어요', '친절해요', '인테리어가 멋져요', '음료가 맛있어요', '특별한 메뉴가 있어요']","[120, 100, 89, 58, 54]"
카페마인드어스,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요', '매장이 청결해요', '음료가 맛있어요']","[15, 9, 7, 7, 5]"
her coffee,[],[]
할리스 신림역점,"['커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요', '친절해요', '대화하기 좋아요']","[293, 104, 80, 70, 63]"
재쿠와 커피콩나무,[],[]
디피스트,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '친절해요', '대화하기 좋아요']","[98, 59, 53, 40, 31]"
슬리핑피쉬,[],[]
아망,[],[]
더카페,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '대화하기 좋아요', '디저트가 맛있어요']","[30, 21, 16, 12, 8]"
컴컴 베이커리카페,"['커피가 맛있어요', '음료가 맛있어요', '빵이 맛있어요', '인테리어가 멋져요', '매장이 청결해요']","[131, 85, 78, 61, 59]"
오다가다,"['디저트가 맛있어요', '커피가 맛있어요', '친절해요', '특별한 메뉴가 있어요', '음료가 맛있어요']","[51, 29, 24, 16, 15]"
베러댄와플 신림점,"['디저트가 맛있어요', '친절해요', '커피가 맛있어요', '음료가 맛있어요', '가성비가 좋아요']","[26, 12, 7, 5, 4]"
에딕티이즈,"['커피가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '친절해요', '디저트가 맛있어요']","[37, 17, 17, 14, 12]"
