place,tag_title,tag_count
아분드,"['커피가 맛있어요', '인테리어가 멋져요', '매장이 청결해요', '대화하기 좋아요', '음료가 맛있어요']","[51, 40, 33, 29, 27]"
헤리티지클럽,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요', '대화하기 좋아요', '뷰가 좋아요']","[100, 93, 63, 61, 56]"
카페큐브,[],[]
오랑오랑,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '친절해요']","[41, 16, 16, 11, 11]"
한남베르그,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '친절해요']","[197, 140, 104, 78, 72]"
기욤 청담점,"['빵이 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요', '친절해요', '커피가 맛있어요']","[163, 97, 77, 67, 64]"
C27 가로수길점,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '대화하기 좋아요', '음료가 맛있어요']","[256, 151, 136, 83, 79]"
오월의종 타임스퀘어점,"['빵이 맛있어요', '가성비가 좋아요', '친절해요', '특별한 메뉴가 있어요', '커피가 맛있어요']","[2063, 358, 342, 327, 288]"
투썸플레이스 광화문점,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '친절해요', '좌석이 편해요']","[365, 222, 159, 155, 136]"
더 피아노,"['뷰가 좋아요', '인테리어가 멋져요', '커피가 맛있어요', '사진이 잘 나와요', '대화하기 좋아요']","[62, 28, 23, 21, 14]"
무진장,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '대화하기 좋아요', '음료가 맛있어요']","[142, 99, 91, 69, 53]"
멜로워 성수 더 플래그쉽,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '친절해요', '음료가 맛있어요']","[476, 446, 251, 211, 185]"
폴바셋 코리아나호텔점,"['커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요', '친절해요', '매장이 청결해요']","[843, 292, 277, 261, 215]"
가배도 명동,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요', '음료가 맛있어요', '대화하기 좋아요']","[21, 21, 12, 8, 8]"
카페&펍 연무장,"['커피가 맛있어요', '뷰가 좋아요', '인테리어가 멋져요', '디저트가 맛있어요', '사진이 잘 나와요']","[104, 90, 84, 72, 58]"
나폴레옹과자점 본점,"['빵이 맛있어요', '특별한 메뉴가 있어요', '매장이 청결해요', '친절해요', '주차하기 편해요']","[2635, 571, 557, 400, 124]"
어니언 미아,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '친절해요', '음료가 맛있어요']","[376, 370, 216, 216, 125]"
gongrot,"['커피가 맛있어요', '뷰가 좋아요', '집중하기 좋아요', '음료가 맛있어요', '인테리어가 멋져요']","[108, 68, 59, 51, 45]"
